observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,-0.3910336582007361,-0.44872254454557337,0.45854269002105946,-1.067565610586875,-0.6455748112661279,-0.0013411627584999466,0.4901315789473684,1.0,0.9111842105263158,277.0,139,BTC,phase4_combined_xgb,daily_sign,phase4_combined_xgb__daily_sign,10
304,-0.3910336582007361,-0.44872254454557337,0.45854269002105946,-1.067565610586875,-0.6455748112661279,-0.0013411627584999466,0.4901315789473684,1.0,0.9111842105263158,277.0,139,BTC,phase4_short_window_only_xgb,daily_sign,phase4_short_window_only_xgb__daily_sign,10
304,-0.4078429622307711,-0.466941881944571,0.45851603667707425,-1.1408498470117592,-0.597059421075876,-0.0014331450693026804,0.48355263157894735,1.0,0.805921052631579,245.0,123,BTC,phase4_combined_xgb,cost_aware,phase4_combined_xgb__cost_aware,10
304,-0.4078429622307711,-0.466941881944571,0.45851603667707425,-1.1408498470117592,-0.597059421075876,-0.0014331450693026804,0.48355263157894735,1.0,0.805921052631579,245.0,123,BTC,phase4_short_window_only_xgb,cost_aware,phase4_short_window_only_xgb__cost_aware,10
304,-0.4070729924398928,-0.46610956781664514,0.4522634834125496,-1.1599653346174983,-0.5759262582256548,-0.001437287569512092,0.46710526315789475,0.9868421052631579,0.029605263157894735,9.0,5,BTC,phase5_concat_lstm,cost_aware,phase5_concat_lstm__cost_aware,10
304,-0.4751599188973722,-0.5388436427632102,0.4585655918639661,-1.4561971240898013,-0.5393953595462643,-0.0018294846467913563,0.4605263157894737,1.0,1.1414473684210527,347.0,174,BTC,arima,daily_sign,arima__daily_sign,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,BTC,random_walk_zero_return,daily_sign,random_walk_zero_return__daily_sign,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,BTC,random_walk_zero_return,cost_aware,random_walk_zero_return__cost_aware,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,BTC,cash,benchmark,cash,10
304,0.4222148765273752,0.5263667451831207,0.6379006768231713,0.9804130819466448,-0.35462354038268573,0.0017134415576439892,0.506578947368421,0.9901315789473685,0.3059210526315789,93.0,47,ETH,arima,cost_aware,arima__cost_aware,10
