source_phase,asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,source_file,result_id
phase4,ETH,phase4_combined,lstm,phase4_combined_lstm,0.0229290013168198,0.033602803832767,-0.0023151090363795,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_combined_lstm
phase4,ETH,phase4_combined,xgb,phase4_combined_xgb,0.0242577740145353,0.0341046362378473,-0.0324762898063519,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_combined_xgb
phase4,ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,0.0229579835608969,0.0336287025445955,-0.0038607344473582,0.5032894736842105,0.4771378997605918,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_decay_only_lstm
phase4,ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,0.024686369537748,0.0350385508511316,-0.0897967685300238,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_decay_only_xgb
phase4,ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.0229891201549323,0.0336055175560107,-0.0024770071717103,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_short_window_only_lstm
phase4,ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.0242577740145353,0.0341046362378473,-0.0324762898063519,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase4_short_window_only_xgb
phase4,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__random_walk_zero_return
phase5,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__arima
phase5,BTC,phase2_general,lstm,phase2_general_lstm,0.0166148163467547,0.0239842203620338,0.0003511808835885,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase2_general_lstm
phase5,BTC,phase2_general,xgb,phase2_general_xgb,0.0171729494837657,0.0244137644835541,-0.0357757696963818,0.506578947368421,0.4317125502652969,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase2_general_xgb
phase5,BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.0170401354644876,0.0242968403828836,-0.0258783085284322,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase3_crypto_lstm
phase5,BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.0176825910076033,0.0249221858230468,-0.079365432986832,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase3_crypto_xgb
phase5,BTC,phase5_concat,lstm,phase5_concat_lstm,0.0169710298494542,0.0242447218684658,-0.0214818596921613,0.4671052631578947,0.8858173157079974,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase5_concat_lstm
phase5,BTC,phase5_concat,xgb,phase5_concat_xgb,0.0172924238705405,0.0244973819643622,-0.0428830127474111,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase5_concat_xgb
phase5,BTC,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.0169120781712529,0.0241358507372478,-0.0123285114530276,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase5_reliability_fusion_lstm
phase5,BTC,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.0174162604067562,0.0247988823413484,-0.0687114490961775,0.5032894736842105,0.4771378997605918,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__phase5_reliability_fusion_xgb
phase5,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__BTC__random_walk_zero_return
phase5,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__arima
phase5,ETH,phase2_general,lstm,phase2_general_lstm,0.024450611844703,0.0345798427236784,-0.0614493394985788,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase2_general_lstm
phase5,ETH,phase2_general,xgb,phase2_general_xgb,0.0241025392083515,0.0342795405310662,-0.0430934736306303,0.5263157894736842,0.1948265530709673,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase2_general_xgb
phase5,ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.0235127788953676,0.0340610626605903,-0.0298397013197524,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase3_crypto_lstm
phase5,ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.0246863695377479,0.0350385508511315,-0.0897967685300233,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase3_crypto_xgb
phase5,ETH,phase5_concat,lstm,phase5_concat_lstm,0.0238906820875715,0.0340158286584646,-0.0271062082719526,0.4868421052631579,0.6971010550060723,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase5_concat_lstm
phase5,ETH,phase5_concat,xgb,phase5_concat_xgb,0.0240387259075042,0.0343011159686363,-0.0444069265020841,0.5164473684210527,0.3028989449939276,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase5_concat_xgb
phase5,ETH,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.023149995949232,0.0338335560458939,-0.0161282752725178,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase5_reliability_fusion_lstm
phase5,ETH,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.0245213956901476,0.034647044754682,-0.0655789628986458,0.5098684210526315,0.3871721101757538,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__phase5_reliability_fusion_xgb
phase5,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase5_reliability_fusion/ensemble_metrics.csv,phase5__ETH__random_walk_zero_return
