source_phase,asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family,source_file,candidate_result_id,reference_result_id,final_family,dm_p_value_holm_cross_phase_family,wilcoxon_p_value_holm_cross_phase_family
phase2,BTC,benchmark_comparisons,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,0.0166148163467547,0.0166648493825606,-5.003303580589438e-05,-5.00330358058982e-05,-0.7512789643200801,5,0.4530678854687436,0.5228846854626841,0.261442342731342,304,0.9061357709374872,0.5889769794537549,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_lstm,phase2__BTC__random_walk_zero_return,benchmark_comparisons,1.0,1.0
phase2,BTC,benchmark_comparisons,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,0.0171729494837657,0.0166648493825606,0.000508100101205,0.000508100101205,1.5246788575952093,5,0.128382266202862,0.1375098326476735,0.9312450836761632,304,0.4822112825165844,0.5500393305906941,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_xgb,phase2__BTC__random_walk_zero_return,benchmark_comparisons,1.0,1.0
phase2,BTC,benchmark_comparisons,Phase 2 XGB vs ARIMA,phase2_xgb,arima,0.0171729494837657,0.0166770411305337,0.000495908353232,0.000495908353232,1.5568378988554696,5,0.1205528206291461,0.1441926817694027,0.9279036591152986,304,0.4822112825165844,0.5500393305906941,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_xgb,phase2__BTC__arima,benchmark_comparisons,1.0,1.0
phase2,BTC,sentiment_increment,Phase 2 vs Phase 0 for LSTM,phase2_lstm,phase0_lstm,0.0166148163467547,0.016727339378903,-0.0001125230321482,-0.0001125230321482,-1.4893966833831835,5,0.1374230592115442,0.1413491178537635,0.0706745589268817,304,0.6692350099165929,0.4097753735044748,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_lstm,phase2__BTC__phase0_lstm,sentiment_increment,0.6692350099165926,0.4097753735044748
phase3,ETH,benchmark_comparisons,Crypto FinBERT LSTM vs random walk,phase3_crypto_lstm,random_walk_zero_return,0.0235127788953677,0.0229388161849642,0.0005739627104034,0.0005739627104034,2.39092122508364,5,0.0174163443570313,0.0132832640963153,0.9933583679518424,304,0.1741634435703133,0.0929828486742071,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_lstm,phase3__ETH__random_walk_zero_return,benchmark_comparisons,0.48765764199684564,0.31879833831156723
phase3,ETH,news_scope,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,0.024686369537748,0.0241025392083516,0.0005838303293964,0.0005838303293964,1.3765738078459584,5,0.1696603938447065,0.3191673762817447,0.8404163118591277,304,0.3320470543284677,0.343989310553473,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_xgb,phase3__ETH__phase2_general_xgb,news_scope,0.3320470543284676,0.343989310553473
phase3,ETH,benchmark_comparisons,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,0.024686369537748,0.0229923275444329,0.0016940419933151,0.0016940419933151,3.395496399526367,5,0.0007763846022945,0.0002157847909539,0.999892107604523,304,0.0116457690344188,0.0030209870733555,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_xgb,phase3__ETH__arima,benchmark_comparisons,0.034160922500958,0.0090629612200638
phase3,ETH,benchmark_comparisons,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,0.0241025392083515,0.0229923275444328,0.0011102116639187,0.0011102116639187,2.199465161832267,5,0.0285999812502251,0.0059732235351536,0.9970133882324232,304,0.1891811812004277,0.0657054588866898,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase2_general_xgb,phase3__ETH__arima,benchmark_comparisons,0.5465234123567841,0.1971163766600688
phase3,ETH,benchmark_comparisons,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,0.024686369537748,0.0229388161849642,0.0017475533527837,0.0017475533527837,3.4761695847581318,5,0.0005829807749487,0.000152389751359,0.9999238051243204,304,0.0093276923991799,0.0024382360217455,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_xgb,phase3__ETH__random_walk_zero_return,benchmark_comparisons,0.0268171156476402,0.007009928562514
phase3,ETH,news_scope,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.0235127788953677,0.0244506118447031,-0.0009378329493353,-0.0009378329493353,-3.1100159798613114,5,0.0020487083108953,0.0003142094931305,0.0001571047465652,304,0.0061461249326859,0.0012568379725222,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_lstm,phase3__ETH__phase2_general_lstm,news_scope,0.0061461249326859,0.001256837972522
phase3,ETH,benchmark_comparisons,Crypto FinBERT LSTM vs ARIMA,phase3_crypto_lstm,arima,0.0235127788953677,0.0229923275444329,0.0005204513509348,0.0005204513509348,2.2360327704601803,5,0.0260774825594837,0.0190582076513189,0.9904708961743404,304,0.1891811812004277,0.1086789294699891,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase3_crypto_lstm,phase3__ETH__arima,benchmark_comparisons,0.5465234123567841,0.36226309823329594
phase3,ETH,benchmark_comparisons,General FinBERT LSTM vs ARIMA,phase2_general_lstm,arima,0.024450611844703,0.0229923275444328,0.0014582843002702,0.0014582843002702,3.2722435246941366,5,0.0011902455831941,0.0002477477247891,0.9998761261376056,304,0.0154731925815236,0.0032207204222594,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase2_general_lstm,phase3__ETH__arima,benchmark_comparisons,0.047609823327764,0.009909908991564
phase3,ETH,benchmark_comparisons,General FinBERT LSTM vs random walk,phase2_general_lstm,random_walk_zero_return,0.024450611844703,0.0229388161849642,0.0015117956597388,0.0015117956597388,3.369475408669072,5,0.0008505680821998,0.0001601646752644,0.9999199176623678,304,0.0119079531507977,0.0024382360217455,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase2_general_lstm,phase3__ETH__random_walk_zero_return,benchmark_comparisons,0.0357238594523916,0.0070472457116336
phase3,ETH,benchmark_comparisons,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,0.0241025392083515,0.0229388161849642,0.0011637230233873,0.0011637230233873,2.2928122191868967,5,0.0225437429994782,0.0047879949508048,0.9976060025245976,304,0.1891811812004277,0.0574559394096583,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__ETH__phase2_general_xgb,phase3__ETH__random_walk_zero_return,benchmark_comparisons,0.5465234123567841,0.167579823278168
phase3,BTC,benchmark_comparisons,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,0.0176825910076034,0.0166770411305337,0.0010055498770696,0.0010055498770696,2.319726040693162,5,0.0210201312444919,0.0106795654398822,0.9946602172800588,304,0.1891811812004277,0.0854365235190578,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__BTC__phase3_crypto_xgb,phase3__BTC__arima,benchmark_comparisons,0.5465234123567841,0.2776687014369372
phase3,BTC,benchmark_comparisons,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,0.0171729494837657,0.0166770411305337,0.000495908353232,0.000495908353232,1.556837898855476,5,0.1205528206291445,0.1441926817694027,0.9279036591152986,304,0.4822112825165781,0.5500393305906941,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__BTC__phase2_general_xgb,phase3__BTC__arima,benchmark_comparisons,1.0,1.0
phase3,BTC,benchmark_comparisons,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,0.0176825910076034,0.0166648493825606,0.0010177416250427,0.0010177416250427,2.309051986077012,5,0.0216132603878749,0.0082021598073156,0.9958989200963422,304,0.1891811812004277,0.0793752540616339,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__BTC__phase3_crypto_xgb,phase3__BTC__random_walk_zero_return,benchmark_comparisons,0.5465234123567841,0.238125762184899
phase3,BTC,benchmark_comparisons,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,0.0171729494837657,0.0166648493825606,0.000508100101205,0.000508100101205,1.52467885759522,5,0.1283822662028594,0.1375098326476735,0.9312450836761632,304,0.4822112825165781,0.5500393305906941,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__BTC__phase2_general_xgb,phase3__BTC__random_walk_zero_return,benchmark_comparisons,1.0,1.0
phase3,BTC,news_scope,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,0.0170401354644876,0.0166148163467547,0.0004253191177328,0.0004253191177328,3.373911080748037,5,0.0008374722993404,0.0014718226908353,0.9992640886545824,304,0.0033498891973618,0.0044154680725059,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase3/significance_final.csv,phase3__BTC__phase3_crypto_lstm,phase3__BTC__phase2_general_lstm,news_scope,0.0033498891973616,0.0044154680725059
