source_phase,asset,comparison,candidate_method,reference_method,candidate_result_id,reference_result_id,candidate_mae_significance,candidate_mae_registry,reference_mae_significance,reference_mae_registry,candidate_abs_diff,reference_abs_diff,pass_1e_10
phase4,BTC,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,phase4__BTC__phase4_combined_xgb,phase4__BTC__phase3_reference_xgb,0.0180130547440462,0.0180130547440462,0.0176825910076034,0.0176825910076033,0.0,1.0061396160665481e-16,True
phase4,BTC,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,phase4__BTC__phase4_combined_lstm,phase4__BTC__phase4_decay_only_lstm,0.0168175202337697,0.0168175202337697,0.0167630123582427,0.0167630123582427,0.0,0.0,True
phase5,ETH,Dual-scope concat vs crypto for LSTM,phase5_concat_lstm,phase3_crypto_lstm,phase5__ETH__phase5_concat_lstm,phase5__ETH__phase3_crypto_lstm,0.0238906820875715,0.0238906820875715,0.0235127788953677,0.0235127788953676,0.0,1.0061396160665481e-16,True
phase5,ETH,Reliability fusion vs simple concat for LSTM,phase5_reliability_fusion_lstm,phase5_concat_lstm,phase5__ETH__phase5_reliability_fusion_lstm,phase5__ETH__phase5_concat_lstm,0.023149995949232,0.023149995949232,0.0238906820875715,0.0238906820875715,0.0,0.0,True
phase5,ETH,Reliability fusion vs general for LSTM,phase5_reliability_fusion_lstm,phase2_general_lstm,phase5__ETH__phase5_reliability_fusion_lstm,phase5__ETH__phase2_general_lstm,0.023149995949232,0.023149995949232,0.0244506118447031,0.024450611844703,0.0,1.0061396160665481e-16,True
phase5,ETH,Reliability fusion vs crypto for LSTM,phase5_reliability_fusion_lstm,phase3_crypto_lstm,phase5__ETH__phase5_reliability_fusion_lstm,phase5__ETH__phase3_crypto_lstm,0.023149995949232,0.023149995949232,0.0235127788953677,0.0235127788953676,0.0,1.0061396160665481e-16,True
phase5,ETH,Reliability fusion LSTM vs random walk,phase5_reliability_fusion_lstm,random_walk_zero_return,phase5__ETH__phase5_reliability_fusion_lstm,phase5__ETH__random_walk_zero_return,0.023149995949232,0.023149995949232,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase5,ETH,Reliability fusion vs crypto for XGB,phase5_reliability_fusion_xgb,phase3_crypto_xgb,phase5__ETH__phase5_reliability_fusion_xgb,phase5__ETH__phase3_crypto_xgb,0.0245213956901476,0.0245213956901476,0.024686369537748,0.0246863695377479,0.0,9.71445146547012e-17,True
phase5,ETH,Dual-scope concat vs general for XGB,phase5_concat_xgb,phase2_general_xgb,phase5__ETH__phase5_concat_xgb,phase5__ETH__phase2_general_xgb,0.0240387259075042,0.0240387259075042,0.0241025392083516,0.0241025392083515,0.0,1.0061396160665481e-16,True
phase5,ETH,Dual-scope concat vs crypto for XGB,phase5_concat_xgb,phase3_crypto_xgb,phase5__ETH__phase5_concat_xgb,phase5__ETH__phase3_crypto_xgb,0.0240387259075042,0.0240387259075042,0.024686369537748,0.0246863695377479,0.0,9.71445146547012e-17,True
phase5,ETH,Reliability fusion vs simple concat for XGB,phase5_reliability_fusion_xgb,phase5_concat_xgb,phase5__ETH__phase5_reliability_fusion_xgb,phase5__ETH__phase5_concat_xgb,0.0245213956901476,0.0245213956901476,0.0240387259075042,0.0240387259075042,0.0,0.0,True
phase5,ETH,Reliability fusion vs general for XGB,phase5_reliability_fusion_xgb,phase2_general_xgb,phase5__ETH__phase5_reliability_fusion_xgb,phase5__ETH__phase2_general_xgb,0.0245213956901476,0.0245213956901476,0.0241025392083516,0.0241025392083515,0.0,1.0061396160665481e-16,True
phase5,ETH,Dual-scope concat vs general for LSTM,phase5_concat_lstm,phase2_general_lstm,phase5__ETH__phase5_concat_lstm,phase5__ETH__phase2_general_lstm,0.0238906820875715,0.0238906820875715,0.0244506118447031,0.024450611844703,0.0,1.0061396160665481e-16,True
phase5,ETH,Reliability fusion LSTM vs ARIMA,phase5_reliability_fusion_lstm,arima,phase5__ETH__phase5_reliability_fusion_lstm,phase5__ETH__arima,0.023149995949232,0.023149995949232,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase5,BTC,Reliability fusion XGB vs ARIMA,phase5_reliability_fusion_xgb,arima,phase5__BTC__phase5_reliability_fusion_xgb,phase5__BTC__arima,0.0174162604067562,0.0174162604067562,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase5,BTC,Reliability fusion LSTM vs ARIMA,phase5_reliability_fusion_lstm,arima,phase5__BTC__phase5_reliability_fusion_lstm,phase5__BTC__arima,0.0169120781712529,0.0169120781712529,0.0166770411305337,0.0166770411305337,0.0,0.0,True
