asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
ETH,phase0,xgb,phase0_xgb,7,0.02451157847752295,0.034705608650191,-0.06918430336005521,0.5098684210526315,0.38717211017575387,304
ETH,phase2_general,lstm,phase2_general_lstm,42,0.023808831554318212,0.03405977712999251,-0.02976196648939622,0.5164473684210527,0.3028989449939276,304
ETH,phase2_general,lstm,phase2_general_lstm,123,0.023131800161342513,0.033600464660816017,-0.002175566765170167,0.4934210526315789,0.6128278898242461,304
ETH,phase2_general,lstm,phase2_general_lstm,2024,0.023841658625153913,0.03425973309439797,-0.04188837937227774,0.5,0.5228621002394082,304
ETH,phase2_general,lstm,phase2_general_lstm,2025,0.029581469978298885,0.03915698978737033,-0.3610429784862361,0.4934210526315789,0.6128278898242461,304
ETH,phase2_general,lstm,phase2_general_lstm,7,0.024639495639485656,0.03460605309951728,-0.06305903622494635,0.47039473684210525,0.8620948714078855,304
ETH,phase2_general,xgb,phase2_general_xgb,42,0.024286605627203597,0.03458063394869729,-0.061497914322279135,0.5328947368421053,0.1379051285921145,304
ETH,phase2_general,xgb,phase2_general_xgb,123,0.024286841978661402,0.03432873111642956,-0.04608926602119534,0.4901315789473684,0.6559315415238023,304
ETH,phase2_general,xgb,phase2_general_xgb,2024,0.024065891482414004,0.034316041199953295,-0.04531601682668818,0.5,0.5228621002394082,304
ETH,phase2_general,xgb,phase2_general_xgb,2025,0.02436950651292247,0.03457357629888469,-0.06106467090232859,0.5263157894736842,0.19482655307096733,304
ETH,phase2_general,xgb,phase2_general_xgb,7,0.02420243403839739,0.03445654373419019,-0.0538933592799109,0.5032894736842105,0.47713789976059184,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,42,0.024099927041726033,0.03468321428933892,-0.06780493126393972,0.5131578947368421,0.3440684584761977,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,123,0.02367486412833254,0.03412504428350955,-0.03371231692353205,0.4934210526315789,0.6128278898242461,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,2024,0.02413457296364997,0.03452333296398804,-0.057982971150951634,0.506578947368421,0.4317125502652969,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,2025,0.023615975714434717,0.03420120193775488,-0.03833138501264055,0.4934210526315789,0.6128278898242461,304
ETH,phase3_crypto,lstm,phase3_crypto_lstm,7,0.02321608997649192,0.03372089037256728,-0.00937213279327187,0.47368421052631576,0.8352204939490167,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,42,0.02488078862408732,0.03538849299208979,-0.11167382801478487,0.4605263157894737,0.9242513671309308,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,123,0.024978657008359686,0.03516408639697431,-0.09761976953960283,0.506578947368421,0.4317125502652969,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,2024,0.02446016062846277,0.0349141786042205,-0.0820738511485577,0.5131578947368421,0.3440684584761977,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,2025,0.02535739048901531,0.03576905834712198,-0.13571211346858747,0.5164473684210527,0.3028989449939276,304
ETH,phase3_crypto,xgb,phase3_crypto_xgb,7,0.02475045836369661,0.03500682055147367,-0.08782386041246903,0.4769736842105263,0.8051734469290327,304
